time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
5.46875,Amusement,True,False,False,False,False,False,False,False,0.6619555654821697,0.00030991394382184065,0.24351993670916763,0.0022899665607436404,0.04600303437005038,0.03295518970486359,0.012123960543986819,0.0008424326851964035
5.5078125,Disgust,False,False,True,False,False,False,False,False,0.23334978346464172,0.00029697134443820575,0.6343108584191197,0.0021943321144642118,0.08584351395087594,0.03158014892326142,0.011617141305559093,0.0008072504776397968
5.546875,Amusement,True,False,False,False,False,False,False,False,0.6343109551574515,0.0002969715023702422,0.233350020479088,0.0021943322391081654,0.08584281171249465,0.03157998707925814,0.011617671218400799,0.0008072506118285808
5.5859375,Amusement,True,False,False,False,False,False,False,False,0.6343129331277073,0.0002969720693015684,0.23335073741708365,0.0021943385561886517,0.08584227166252871,0.031577883116424364,0.011617610914745537,0.0008072531360204449
5.625,Amusement,True,False,False,False,False,False,False,False,0.6343104759991561,0.00029697115937607786,0.23334983989353858,0.0021943303397529007,0.08584364660906268,0.03157983415089017,0.011617652202254107,0.0008072496459693299
5.6640625,Amusement,True,False,False,False,False,False,False,False,0.6720428248165977,0.0003146367218240677,0.24723082643548291,0.0008552694156777915,0.006319708539969672,0.03345861428354045,0.03345845984369435,0.006319659943212843
5.703125,Amusement,True,False,False,False,False,False,False,False,0.6658875745729302,0.00031175495774114314,0.2449664314985061,0.0023035707885576432,0.04626967093138826,0.033151516037136966,0.006262043603380738,0.0008474376103587992
5.7421875,Disgust,False,False,True,False,False,False,False,False,0.23335004268967416,0.00029697181300786317,0.6343114367170669,0.0021943362718637944,0.08584280934214956,0.03157980234800612,0.011617349523671642,0.0008072512945600057
5.78125,Disgust,False,False,True,False,False,False,False,False,0.23467589826950497,0.0002986606106207309,0.6379147257644875,0.0022068125917988333,0.08633204205828769,0.03175982937202544,0.006000189435134969,0.0008118418981398962
5.8203125,Amusement,True,False,False,False,False,False,False,False,0.6568463518384973,0.0003075243815748289,0.24164027701079493,0.0022723092524385455,0.032694496023062465,0.03270209885729697,0.03270100682193539,0.0008359358143995401
5.859375,Disgust,False,False,True,False,False,False,False,False,0.2346761543171974,0.0002986641087107833,0.6379164015624358,0.002206844047038464,0.0863307338138035,0.031759749942690076,0.005999604642767202,0.0008118475653568929
5.8984375,Inspiration,False,False,False,False,True,False,False,False,0.14454382454907092,0.0013592829216539414,0.05317376805895841,0.010043878346445516,0.3929117051160711,0.3929132982831777,0.003694975535417747,0.0013592671892046079
5.9375,Joy,False,False,False,False,False,True,False,False,0.039176190736483596,0.0010020300307984709,0.10654299335444527,0.0027238692681544486,0.054826885139659574,0.7873219845526825,0.007404028294646803,0.0010020186231292118
5.9765625,Joy,False,False,False,False,False,True,False,False,0.008099454489153621,0.0029796435943120684,0.04286662053495206,0.008099412964468753,0.015769179581255347,0.8612401040462961,0.05984944064242675,0.0010961441471351776
6.015625,Joy,False,False,False,False,False,True,False,False,0.002412641539764504,0.0008876395166661151,0.25649823865732524,0.0024127069508707672,0.004698455119381429,0.6973601904946317,0.017847590692008933,0.017882537029351216
6.0546875,Sadness,False,False,False,False,False,False,True,False,0.0018464440771710135,0.013646449127482013,0.026560859397647723,0.005019236219608443,0.026566465895875593,0.19633613848679712,0.5336881410049354,0.1963362657904827
6.09375,Sadness,False,False,False,False,False,False,True,False,0.01501589361379772,0.005524128535327787,0.07949250771656464,0.0020321019852015797,0.015017406794731219,0.21604697507552686,0.5873803150626146,0.07949067121623549
6.1328125,Sadness,False,False,False,False,False,False,True,False,0.21053243029537888,0.0019897830628439073,0.07783638422804469,0.0019897181414834913,0.014704291950016718,0.03998135965687398,0.5751343076423858,0.07783172502297252
6.171875,Sadness,False,False,False,False,False,False,True,False,0.19033176625349665,0.004865639716868301,0.19033510610541898,0.0006584663087248839,0.013228058760793297,0.06996550440918362,0.5173869989288784,0.013228459516635776
6.2109375,Amusement,True,False,False,False,False,False,False,False,0.46531446119404,0.01189478596839504,0.17118071439642524,0.0005921955008730711,0.17108657760552773,0.0043758437528306935,0.1711793301646527,0.004376091417255491
6.25,Amusement,True,False,False,False,False,False,False,False,0.4096206740957135,0.003852099292895388,0.40962457149386367,0.0014170851666262725,0.010472202715629209,0.010472114677745677,0.15068915822760992,0.003852094329916346
6.2890625,Sadness,False,False,False,False,False,False,True,False,0.23466775963539896,0.0008118460964154298,0.08632975402623674,0.0002986545867043149,0.03175413509133412,0.006035576579813651,0.6378954291714333,0.0022068448126636125
6.328125,Sadness,False,False,False,False,False,False,True,False,0.2399482427253605,0.0008301031599676845,0.0882721794781356,0.0003053745350625706,0.006133901499080999,0.006134076949291761,0.6522422029473331,0.006133918705767607
6.3671875,Amusement,True,False,False,False,False,False,False,False,0.36212718045294096,0.0012527800352738839,0.36212736857768096,0.0012527628701086866,0.13321113522387093,0.003405519211375283,0.13321787607260285,0.003405377556146407
6.40625,Amusement,True,False,False,False,False,False,False,False,0.3604745289191677,0.003389857225472623,0.13261130164384363,0.0004587612111923285,0.13260802191745874,0.006594948867139655,0.3604727340511795,0.0033898461645457643
6.4453125,Amusement,True,False,False,False,False,False,False,False,0.31914184357552267,0.001104063158046608,0.31914205801089146,0.00040615941282028654,0.02217818202268698,0.015887896265190368,0.31913861717325626,0.0030011803815853787
6.484375,Amusement,True,False,False,False,False,False,False,False,0.3621265514939251,0.0012527718448778079,0.36212673273065704,0.0012527559871875389,0.13321412770048144,0.0034054547698489186,0.13321625029079048,0.0034053551822316765
